"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"crossing[28]",100.6496952595,101.739445,7.17307860208762,7.40828088420001,89.4590117,110.9702895,1.00032935177893,5536.76865587324,2999.51014724299
"crossing[29]",105.976568781333,105.910335,6.8781817452634,5.73585322799999,94.72940205,118.2312355,1.00060789574994,5536.7697128288,2999.51014724299
"crossing[30]",105.928998872333,107.333805,8.10066311121386,6.93105863100001,90.82231895,116.918663,1.00264281107927,5478.05978517009,3629.72356874728
"crossing[31]",97.6643645565,98.4070605,6.93295914086036,5.8945922448,86.3256961,107.3453935,1.0027132756836,5478.0636011407,3629.72356874728
"crossing[32]",114.202843531667,114.654955,6.92690140395335,6.037725414,102.616728,123.83449,1.00277325276579,5478.06142996645,3629.72356874728
"crossing[33]",108.982379074833,108.821565,5.17346326357969,4.48642173000001,100.3196115,117.523883,1.00272675510458,5478.06073107229,3629.72356874728
"crossing[34]",110.578141213667,110.2348,6.8829979357329,7.712537091,99.3147389,121.171219,1.00268448096597,5478.06193844411,3629.72356874728
"crossing[35]",107.252810462667,105.909635,7.59326762652431,6.254429643,95.219477,120.375248,1.00240127458737,5478.05858972869,3629.72356874728
"crossing[36]",95.9882188938333,95.547081,7.12410838540068,5.91972602130001,83.77524755,105.9213765,1.00264866841435,5478.06309547406,3629.72356874728
"crossing[37]",101.293714201833,101.74142,7.17487299668863,4.7076812475,88.3131462,111.3820995,1.00273156490543,5478.05726769093,3629.72356874728
"crossing[38]",97.0165350616667,95.9431235,7.38225906489902,7.7270257995,85.78449435,108.284292,1.00209426095153,5137.00210926052,3001.88906223939
"crossing[39]",95.1623216131667,92.995206,8.53995614513861,8.11146323819999,83.53581985,108.3429125,1.00191935645479,5137.00502884194,3001.88906223939
"crossing[40]",96.9897592143333,97.166721,5.83123459666652,4.30393887419999,86.8473192,105.228937,1.00168632048892,5137.00817815239,3001.88906223939
"crossing[41]",97.51490127,97.4841605,6.05431020292222,4.3020500418,86.0067669,106.773061,1.00173001299268,5137.00435523838,3001.88906223939
"crossing[42]",96.6404781613333,95.906614,7.4373697131742,7.7451587388,83.12369435,107.945459,1.00189220513727,5137.00989101402,3001.88906223939
"crossing[43]",82.7945720726667,83.467278,8.16555430857159,4.98698233110001,65.15787785,93.87617965,1.00151792430672,5137.0084854302,3001.88906223939
"crossing[44]",89.8439274215,89.8141955,6.99849726127332,5.52475100310002,77.38704145,101.126134,1.00158424638415,5137.0084854302,3001.88906223939
"crossing[45]",124.010615219333,123.84119,7.76097865872505,6.59543505600001,109.1654095,137.20169,1.00146537751127,6787.03064951355,3620.03289873371
"crossing[46]",152.67709168,152.060355,6.82439341206697,7.22503597199998,142.7256425,163.663824,1.00075498032815,6453.92668727933,4750.67825080533
"crossing[47]",154.564093693333,155.010635,6.77185113141551,6.951221991,142.886217,164.041388,1.00075495630958,6453.92278283427,4750.67825080533
"crossing[48]",151.107273728333,150.04221,5.93803057754786,5.90832408599999,142.8061235,161.5075725,1.00075496280089,6453.91796405041,4750.67825080533
"crossing[49]",162.175581373333,161.26601,7.0271709482828,7.56801324300001,150.898759,173.7042795,1.0007549684726,6453.92348000713,4750.67825080533
"crossing[50]",150.423664956667,152.11857,6.95830355179664,7.88137557900001,139.264662,159.5938675,1.00075495136645,6453.92300527975,4750.67825080533
"crossing[51]",158.206965106667,158.457,7.31370223399367,8.81281902899998,146.859346,169.437434,1.00075494873143,6453.9222955017,4750.67825080533
"crossing[52]",153.344880301667,152.99159,6.22815056424021,5.298041448,142.898895,164.5062635,1.00075497012282,6453.928674906,4750.67825080533
"crossing[53]",149.67717554,150.28586,7.65619422840971,8.40418481699997,137.4802445,161.7405105,1.00075496430799,6453.92777176391,4750.67825080533
"crossing[54]",143.346907835,144.5051,6.14011342562005,4.94413000200001,131.571288,151.3256765,1.00004624862585,6154.61048399505,3831.86719219138
"crossing[55]",142.398351343333,142.364685,7.26355689273793,6.578251722,129.3887555,153.941686,0.999941152163331,6154.60562308767,3831.86719219138
"crossing[56]",143.667613366667,144.030575,5.42516489545749,4.85904358800001,134.017738,151.8139155,1.0000263041076,6154.60629955337,3831.86719219138
"crossing[57]",146.613234403333,146.58219,6.38937868254223,6.13694100599999,135.861713,156.6320675,0.999962273541024,6154.61021908999,3831.86719219138
"crossing[58]",140.020692755,140.51567,5.9540207214179,4.321756761,128.437023,148.656887,1.00000825318691,6154.60650979568,3831.86719219138
"crossing[59]",140.821173508333,141.45813,7.10998025573889,7.41128018400004,128.1175775,151.280931,1.00002203413244,6154.6042851252,3831.86719219138
"crossing[60]",139.77884407,140.648995,5.55640586994374,4.67073856199997,128.671729,147.553867,1.00003140187186,6154.61181290736,3831.86719219138
"crossing_anom[1]",-2.45140111846833,-2.36872085,1.32930278967465,1.56970015545,-4.687119705,-0.603047038,1.00009284041821,6786.31981535486,4821.94360549349
"crossing_anom[2]",5.85646424328333,5.2012214,2.01744996755974,1.33490153475,3.385386965,9.805309165,0.999945225336365,6678.15391043705,3695.52716603128
"crossing_anom[3]",0.573199744471072,0.7297753,0.726036234202575,0.76394108112,-0.7088273415,1.41450338,1.00018837269407,6080.81629660916,5406.14661731521
"crossing_anom[4]",-3.978262869055,-4.08365555,1.09409361375332,0.33303977385,-6.490626865,-2.13855349,1.00019245365701,6986.81874810203,3984.13508853726
"crossing_anom[5]",-3.147037022975,-3.24007975,1.72910619390379,1.56448384974,-6.97041417,-0.752612099,1.00153540887495,5832.5298224153,4497.60583613393
"crossing_anom[6]",-3.62818734089167,-3.088881,1.51208664577062,1.47563837757,-6.06124299,-1.879672385,1.00014964006847,3899.19524687619,4979.57549583728
"crossing_anom[7]",4.3721437684,3.79033265,1.54458404317026,0.88271342733,2.567977105,7.061259145,1.00113105794796,5894.68833469622,4124.9528641659
"crossing_anom[8]",2.23973767255167,2.3100018,0.464073311994181,0.41726101662,1.31355208,2.97787904,1.00031591005613,5249.28122497451,4559.19428804772
