Latitude & Longitude in Decimal Degrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identification Information,LATITUDE,LONGITUDE,IES Project #(s),Comments (colored rows = coords in Fld Res Database),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROXIMITY,,,,,SYMBOL,;waypts
YE K1,N41.794930,W073.728750,1370,"Tea Hse (Yellow) experimental grid. Corner of trapping grid, Joe's Gulley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC A1,N41.793760,W073.767730,1370,Greenhouse (Green) control grid. Corner of trapping grid (West grid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC A11,N41.793530,W073.769390,1370,Greenhouse (Green) control grid. Corner of trapping grid (West grid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC K11,N41.794560,W073.769980,1370,Greenhouse (Green) control grid. Corner of trapping grid (West grid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC K1,N41.795100,W073.768243,1370,Greenhouse (Green) control grid. Corner of trapping grid (West grid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE A1,N41.793590,W073.762980,1370,Greenhouse (Green) experimental grid. Corner of trapping grid (East grid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE A11,N41.792280,W073.762570,1370,Greenhouse (Green) experimental grid. Corner of trapping grid (East grid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE K11,N41.792190,W073.764520,1370,Greenhouse (Green) experimental grid. Corner of trapping grid (East grid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE K1,N41.793500,W073.765020,1370,Greenhouse (Green) experimental grid. Corner of trapping grid (East grid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THH1,N41.791188,W073.736270,250,Tea Hse Hill gypsy moth plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
THH10,N41.791129,W073.734951,250,Tea Hse Hill gypsy moth plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
THH11,N41.790882,W073.734178,250,Tea Hse Hill gypsy moth plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
THH12,N41.790608,W073.733272,250,Tea Hse Hill gypsy moth plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
THH13,N41.790716,W073.732762,250,Tea Hse Hill gypsy moth plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
THH14,N41.787148,W073.736463,250,Tea Hse Hill gypsy moth plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
THH15,N41.787534,W073.736313,250,Tea Hse Hill gypsy moth plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
THH16,N41.787974,W073.736431,250,Tea Hse Hill gypsy moth plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
THH17,N41.788570,W073.736383,250,Tea Hse Hill gypsy moth plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
THH18,N41.789278,W073.736040,250,Tea Hse Hill gypsy moth plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
THH19,N41.789841,W073.736184,250,Tea Hse Hill gypsy moth plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
