Grid,Day.1,Day.2,Day.3,Year,Week,MNA,Sample.Size,Full.(birth.and.death),Heterogeneous.survival,Date,spec
Henry Control,41529,41530,NA,2013,1157,17,17,14.4,14.4,9/12/13,PL
Henry Control,41548,41549,NA,2013,1160,18,18,16.63,16.63,10/1/13,PL
Henry Experimental,41487,41488,NA,2013,1151,6,6,5.6,5.6,8/1/13,PL
Henry Experimental,41506,41507,NA,2013,1154,10,10,8.8,8.8,8/20/13,PL
Henry Experimental,41527,41528,NA,2013,1157,8,8,7.71,7.71,9/10/13,PL
Henry Experimental,41550,41551,NA,2013,1160,14,14,12.5,12.5,10/3/13,PL
Tea Control,41501,41502,NA,2013,1153,9,8,13.5,9.75,8/15/13,PL
Tea Control,41522,41523,NA,2013,1156,9,9,7.5,7.5,9/5/13,PL
Tea Control,41543,41544,NA,2013,1159,14,14,12.5,12.5,9/26/13,PL
Tea Experimental,41499,41500,NA,2013,1153,11,11,9,9,8/13/13,PL
Tea Experimental,41520,41521,NA,2013,1156,12,11,10,10,9/3/13,PL
Tea Experimental,41541,41542,NA,2013,1159,13,9,15.71,14.57,9/24/13,PL
Green Control,41858,41859,NA,2014,1204,33,30,33.44,33.47,8/7/14,PL
Green Control,41871,41872,NA,2014,1206,35,31,36.71,36.42,8/20/14,PL
Green Control,41885,41886,NA,2014,1208,37,34,38.56,37.86,9/3/14,PL
Green Control,41900,41901,NA,2014,1210,38,33,38.45,38.18,9/18/14,PL
Green Control,41915,41916,NA,2014,1212,52,48,53.23,53.54,10/3/14,PL
Green Experimental,41856,41857,NA,2014,1204,28,27,28.42,28.31,8/5/14,PL
Green Experimental,41869,41870,NA,2014,1206,27,26,27.35,27.27,8/18/14,PL
Green Experimental,41883,41884,NA,2014,1208,27,25,28.26,27.76,9/1/14,PL
Green Experimental,41898,41899,NA,2014,1210,30,27,30.11,29.82,9/16/14,PL
Green Experimental,41912,41913,NA,2014,1212,45,43,44.41,44,9/30/14,PL
Henry Control,41851,41852,NA,2014,1203,19,19,18.57,18.57,7/31/14,PL
Henry Control,41864,41865,NA,2014,1205,15,15,15,15,8/13/14,PL
Henry Control,41879,41880,NA,2014,1207,30,30,28.62,28.62,8/28/14,PL
Henry Control,41892,41893,NA,2014,1209,40,40,38.95,38.95,9/10/14,PL
Henry Control,41905,41906,NA,2014,1211,48,46,48.25,48.22,9/23/14,PL
Henry Experimental,41849,41850,NA,2014,1203,22,19,23.44,23.04,7/29/14,PL
Henry Experimental,41862,41863,NA,2014,1205,22,19,23.44,23.37,8/11/14,PL
Henry Experimental,41877,41878,NA,2014,1207,23,23,22.74,22.74,8/26/14,PL
Henry Experimental,41890,41891,NA,2014,1209,34,34,32.94,32.94,9/8/14,PL
Henry Experimental,41905,41906,NA,2014,1211,37,36,38.2,38.53,9/23/14,PL
Tea Control,41851,41852,NA,2014,1203,33,31,32.3,32.17,7/31/14,PL
Tea Control,41864,41865,NA,2014,1205,34,31,34,33.92,8/13/14,PL
Tea Control,41879,41880,NA,2014,1207,37,33,38.14,37.68,8/28/14,PL
Tea Control,41892,41893,NA,2014,1209,41,36,43.34,43.31,9/10/14,PL
Tea Control,41907,41908,NA,2014,1211,42,39,41.8,41.63,9/25/14,PL
Tea Experimental,41849,41850,NA,2014,1203,23,22,21.72,21.72,7/29/14,PL
Tea Experimental,41862,41863,NA,2014,1205,21,17,20.18,20.18,8/11/14,PL
Tea Experimental,41877,41878,NA,2014,1207,30,30,29.45,29.45,8/26/14,PL
Tea Experimental,41890,41891,NA,2014,1209,42,41,42.68,42.72,9/8/14,PL
Tea Experimental,41907,41908,NA,2014,1211,49,45,53.05,51.75,9/25/14,PL
Green Control,42234,42235,NA,2015,1258,60,54,63.02,62.51,8/18/15,PL
Green Control,42257,42258,NA,2015,1261,62,55,69.19,69.53,9/10/15,PL
Green Control,42276,42277,NA,2015,1264,72,63,78.73,79.03,9/29/15,PL
Green Experimental,42236,42237,NA,2015,1258,57,51,58.96,58.29,8/20/15,PL
Green Experimental,42255,42256,NA,2015,1261,53,45,50.98,50.54,9/8/15,PL
Green Experimental,42278,42279,NA,2015,1264,79,68,79.22,78.93,10/1/15,PL
Henry Control,42227,42228,NA,2015,1257,105,101,107.24,106.31,8/11/15,PL
Henry Control,42250,42251,NA,2015,1260,89,78,90.47,89.75,9/3/15,PL
Henry Control,42271,42272,NA,2015,1263,95,89,89,89,9/24/15,PL
Henry Experimental,42229,42230,NA,2015,1257,81,75,87.64,86.36,8/13/15,PL
Henry Experimental,42248,42249,NA,2015,1260,82,77,83.7,83.2,9/1/15,PL
Henry Experimental,42269,42270,NA,2015,1263,87,78,86.74,86.39,9/22/15,PL
Tea Control,42220,42221,NA,2015,1256,72,71,70.4,70.4,8/4/15,PL
Tea Control,42241,42242,NA,2015,1259,65,63,64.61,64.39,8/25/15,PL
Tea Control,42261,42262,NA,2015,1262,72,69,70.59,70.39,9/14/15,PL
Tea Experimental,42222,42223,NA,2015,1256,81,77,82.16,81.81,8/6/15,PL
Tea Experimental,42243,42244,NA,2015,1259,70,63,70.56,69.77,8/27/15,PL
Tea Experimental,42263,42264,NA,2015,1262,83,72,87.96,88.1,9/16/15,PL
Green Control,42586,42587,NA,2016,1308,309,261,346.84,341.14,8/4/16,PL
Green Control,42605,42606,NA,2016,1311,288,254,314.49,312.86,8/23/16,PL
Green Control,42626,42627,NA,2016,1314,218,203,233.19,231.73,9/13/16,PL
Green Experimental,42584,42585,NA,2016,1308,266,228,284.93,280.89,8/2/16,PL
Green Experimental,42607,42608,NA,2016,1311,249,228,255.47,255.13,8/25/16,PL
Green Experimental,42627,42628,NA,2016,1314,205,178,214.55,214,9/14/16,PL
Henry Control,42631,42632,NA,2016,1310,198,181,242.22,245.3,9/18/16,PL
Henry Control,42621,42622,NA,2016,1313,163,152,176.48,175.77,9/8/16,PL
Henry Control,42642,42643,NA,2016,1316,112,111,116.76,115.88,9/29/16,PL
Henry Experimental,42598,42599,NA,2016,1310,200,199,200.91,200.45,8/16/16,PL
Henry Experimental,42619,42620,NA,2016,1313,196,185,204.58,203.53,9/6/16,PL
Henry Experimental,42640,42641,NA,2016,1316,153,141,164.12,163.91,9/27/16,PL
Tea Control,42593,42594,NA,2016,1309,231,208,245.34,243.02,8/11/16,PL
Tea Control,42612,42613,NA,2016,1312,233,213,263.35,258.88,8/30/16,PL
Tea Control,42635,42636,NA,2016,1315,159,153,168.45,166.72,9/22/16,PL
Tea Experimental,42591,42592,NA,2016,1309,268,233,298.69,294.28,8/9/16,PL
Tea Experimental,42614,42615,NA,2016,1312,254,226,276.52,272.23,9/1/16,PL
Tea Experimental,42633,42634,NA,2016,1315,190,168,210.87,207.75,9/20/16,PL
Green Control,42962,42963,NA,2017,1362,19,19,18.33,18.33,8/15/17,PL
Green Control,42985,42986,NA,2017,1365,18,15,23.69,23.31,9/7/17,PL
Green Control,43006,43007,NA,2017,1368,34,32,35.7,35.18,9/28/17,PL
Green Experimental,42964,42965,NA,2017,1362,21,21,20.71,20.71,8/17/17,PL
Green Experimental,42983,42984,NA,2017,1365,21,21,20.17,20.17,9/5/17,PL
Green Experimental,43004,43005,NA,2017,1368,27,26,28.88,27.38,9/26/17,PL
Henry Control,42957,42958,NA,2017,1361,7,7,6,6,8/10/17,PL
Henry Control,42976,42977,NA,2017,1364,14,13,14.39,14.47,8/29/17,PL
Henry Control,42997,42998,NA,2017,1367,27,25,31.32,30.14,9/19/17,PL
Henry Experimental,42955,42956,NA,2017,1361,14,15,14.55,14.55,8/8/17,PL
Henry Experimental,42978,42979,NA,2017,1364,14,12,15.97,15.48,8/31/17,PL
Henry Experimental,42999,43000,NA,2017,1367,26,25,27.25,26.53,9/21/17,PL
Tea Control,42950,42951,NA,2017,1360,6,6,5.25,5.25,8/3/17,PL
Tea Control,42969,42970,NA,2017,1363,8,8,7.2,7.2,8/22/17,PL
Tea Control,42992,42993,NA,2017,1366,16,16,13.6,13.6,9/14/17,PL
Tea Experimental,42948,42949,NA,2017,1360,3,3,2.67,2.67,8/1/17,PL
Tea Experimental,42971,42972,NA,2017,1363,8,8,6.75,6.75,8/24/17,PL
Tea Experimental,42990,42991,NA,2017,1366,11,11,10,10,9/12/17,PL
Green Control,43319,43320,NA,2018,1413,151,134,197.63,185.23,8/7/18,PL
Green Control,43342,43343,NA,2018,1416,124,109,142.59,140.37,8/30/18,PL
Green Control,43363,43364,NA,2018,1419,93,77,112.46,111.47,9/20/18,PL
Green Experimental,43321,43322,NA,2018,1413,133,117,158.66,151.93,8/9/18,PL
Green Experimental,43340,43341,NA,2018,1416,122,106,137.69,136.37,8/28/18,PL
Green Experimental,43361,43362,NA,2018,1419,96,71,117,113.91,9/18/18,PL
Henry Control,43328,43329,NA,2018,1414,65,58,70.89,69.49,8/16/18,PL
Henry Control,43349,43350,NA,2018,1417,65,61,69.38,68.62,9/6/18,PL
Henry Control,43370,43371,NA,2018,1420,62,53,96.98,92.91,9/27/18,PL
Henry Experimental,43326,43327,NA,2018,1414,80,76,83.15,82.11,8/14/18,PL
Henry Experimental,43347,43348,NA,2018,1417,73,67,77.81,76.41,9/4/18,PL
Henry Experimental,43368,43369,NA,2018,1420,67,60,81.02,80.04,9/25/18,PL
Tea Control,43312,43313,NA,2018,1412,55,54,55.5,55.28,7/31/18,PL
Tea Control,43333,43334,NA,2018,1415,60,59,60.66,60.39,8/21/18,PL
Tea Control,43354,43355,NA,2018,1418,65,64,68.32,67.24,9/11/18,PL
Tea Experimental,43314,43315,NA,2018,1412,43,42,44.34,43.96,8/2/18,PL
Tea Experimental,43335,43336,NA,2018,1415,43,41,44.97,44.37,8/23/18,PL
Tea Experimental,43356,43357,NA,2018,1418,50,48,52.83,52.37,9/13/18,PL
Green Control,43683,43684,NA,2019,1465,17,17,16,16,8/6/19,PL
Green Control,43704,43705,NA,2019,1468,16,16,15.58,15.58,8/27/19,PL
Green Control,43696,43697,NA,2019,1471,24,23,25.29,25,8/19/19,PL
Green Experimental,43685,43686,NA,2019,1465,15,15,13.33,13.33,8/8/19,PL
Green Experimental,43706,43707,NA,2019,1468,18,18,16.29,16.29,8/29/19,PL
Green Experimental,43725,43726,NA,2019,1471,18,16,20.55,20.97,9/17/19,PL
Henry Control,43676,43677,NA,2019,1464,24,23,25.2,24.6,7/30/19,PL
Henry Control,43699,43700,NA,2019,1467,32,30,35.34,35.82,8/22/19,PL
Henry Control,43720,43721,NA,2019,1470,34,32,35.71,35.48,9/12/19,PL
Henry Control,43739,43740,NA,2019,1473,41,41,40.44,40.44,10/1/19,PL
Henry Experimental,43678,43679,NA,2019,1464,17,17,16.36,16.36,8/1/19,PL
Henry Experimental,43697,43698,NA,2019,1467,23,23,22,22,8/20/19,PL
Henry Experimental,43718,43719,NA,2019,1470,19,19,18.57,18.57,9/10/19,PL
Henry Experimental,43741,43742,NA,2019,1473,28,28,26.93,26.93,10/3/19,PL
Tea Control,43690,43691,NA,2019,1466,26,26,25.07,25.07,8/13/19,PL
Tea Control,43711,43712,NA,2019,1469,21,21,20.43,20.43,9/3/19,PL
Tea Control,43734,43735,NA,2019,1472,23,23,21,21,9/26/19,PL
Tea Experimental,43691,43692,NA,2019,1466,22,21,22.84,22.73,8/14/19,PL
Tea Experimental,43713,43714,NA,2019,1469,23,22,24.06,24.23,9/5/19,PL
Tea Experimental,43732,43733,NA,2019,1472,26,23,35.8,34,9/24/19,PL
Green Control,44049,44050,NA,2020,1517,100,100,NA,NA,8/6/20,PL
Green Control,44068,44069,NA,2020,1520,113,109,121.09,121.08,8/25/20,PL
Green Control,44098,44099,NA,2020,1524,71,70,NA,NA,9/24/20,PL
Green Experimental,44047,44048,NA,2020,1517,102,102,NA,NA,8/4/20,PL
Green Experimental,44070,44071,NA,2020,1520,124,123,125.16,124.61,8/27/20,PL
Green Experimental,44096,44097,NA,2020,1524,84,84,NA,NA,9/22/20,PL
Henry Control,44040,44041,NA,2020,1516,144,143,NA,NA,7/28/20,PL
Henry Control,44061,44062,NA,2020,1519,163,158,169.02,167.75,8/18/20,PL
Henry Control,44089,44090,NA,2020,1523,126,125,NA,NA,9/15/20,PL
Henry Experimental,44042,44043,NA,2020,1516,135,135,NA,NA,7/30/20,PL
Henry Experimental,44063,44064,NA,2020,1519,171,166,178.52,177.09,8/20/20,PL
Henry Experimental,44091,44092,NA,2020,1523,127,126,NA,NA,9/17/20,PL
Tea Control,44054,44055,NA,2020,1518,123,123,121.47,121.47,8/11/20,PL
Tea Control,44084,44085,NA,2020,1522,86,86,NA,NA,9/10/20,PL
Tea Experimental,44056,44057,NA,2020,1518,108,105,117.94,116.1,8/13/20,PL
Tea Experimental,44082,44083,NA,2020,1522,91,91,NA,NA,9/8/20,PL
Green Control,44425,44426,NA,2021,1571,10,9,12.5,11.67,8/17/21,PL
Green Control,44448,44449,NA,2021,1574,18,17,NA,NA,9/9/21,PL
Green Experimental,44427,44428,NA,2021,1571,8,8,4.5,4.5,8/19/21,PL
Green Experimental,44453,44454,NA,2021,1575,14,14,NA,NA,9/14/21,PL
Henry Control,44411,44412,NA,2021,1569,7,7,7,7,8/3/21,PL
Henry Control,44431,44432,NA,2021,1572,8,8,NA,NA,8/23/21,PL
Henry Experimental,44413,44414,NA,2021,1569,8,8,6,6,8/5/21,PL
Henry Experimental,44434,44435,NA,2021,1572,13,13,NA,NA,8/26/21,PL
Tea Control,44418,44419,NA,2021,1570,12,11,9,9,8/10/21,PL
Tea Control,44446,44447,NA,2021,1574,16,16,NA,NA,9/7/21,PL
Tea Experimental,44420,44421,NA,2021,1570,9,9,5,5,8/12/21,PL
Tea Experimental,44439,44440,NA,2021,1573,10,10,NA,NA,8/31/21,PL
Green Control,44789,44790,NA,2022,1623,82,NA,NA,NA,8/16/22,PL
Green Control,44817,44818,NA,2022,1627,74,NA,NA,NA,9/13/22,PL
Green Experimental,44791,44792,NA,2022,1623,68,NA,NA,NA,8/18/22,PL
Green Experimental,44811,44812,NA,2022,1626,77,NA,NA,NA,9/7/22,PL
Henry Control,44777,44778,NA,2022,1621,105,NA,NA,NA,8/4/22,PL
Henry Control,44798,44799,NA,2022,1624,108,NA,NA,NA,8/25/22,PL
Henry Experimental,44775,44776,NA,2022,1621,105,NA,NA,NA,8/2/22,PL
Henry Experimental,44796,44797,NA,2022,1624,106,NA,NA,NA,8/23/22,PL
Tea Control,44782,44783,NA,2022,1622,105,NA,NA,NA,8/9/22,PL
Tea Control,44805,44806,NA,2022,1625,112,NA,NA,NA,9/1/22,PL
Tea Experimental,44784,44785,NA,2022,1622,77,NA,NA,NA,8/11/22,PL
Tea Experimental,44803,44804,NA,2022,1625,107,NA,NA,NA,8/30/22,PL
Henry Control,33456,33457,33458,1991,4,NA,3,3,3,8/6/91,TS
Henry Control,33478,33479,33480,1991,7,NA,2,2,2,8/28/91,TS
Henry Control,33499,33500,33501,1991,10,NA,1,2,2,9/18/91,TS
Tea Control,33463,33464,33465,1991,5,NA,2,2,2,8/13/91,TS
Tea Control,33485,33486,33487,1991,8,NA,0,0,0,9/4/91,TS
Tea Control,33506,33507,33508,1991,11,NA,0,0,0,9/25/91,TS
Henry Control,33827,33828,33829,1992,57,NA,11,16.04,15.6,8/11/92,TS
Henry Control,33848,33849,33850,1992,60,NA,13,15.44,15.47,9/1/92,TS
Henry Control,33876,33877,33878,1992,64,NA,15,14.85,14.86,9/29/92,TS
Tea Control,33820,33822,NA,1992,56,NA,6,4.67,4.67,8/4/92,TS
Tea Control,33841,33842,33843,1992,59,NA,13,12,12,8/25/92,TS
Tea Control,33869,33870,33871,1992,63,NA,5,52,28,9/22/92,TS
Henry Control,34191,34192,NA,1993,109,NA,20,20,20,8/10/93,TS
Tea Control,34184,34185,NA,1993,108,NA,9,9,9,8/3/93,TS
Henry Control,34569,34570,34571,1994,163,NA,4,10,10,8/23/94,TS
Henry Control,34597,34598,34599,1994,167,NA,7,16,14.9,9/20/94,TS
Tea Control,34548,34549,34550,1994,160,NA,0,0,0,8/2/94,TS
Tea Control,34576,34577,34578,1994,164,NA,2,2,2,8/30/94,TS
Tea Control,34604,34605,34606,1994,168,NA,1,0,0,9/27/94,TS
Green Control,34919,34920,NA,1995,213,NA,35,76.5,75.4,8/8/95,TS
Green Control,34954,34955,NA,1995,218,NA,53,71.5,69.6,9/12/95,TS
Henry Control,34912,34913,NA,1995,212,NA,23,55.1,55.9,8/1/95,TS
Henry Control,34940,34941,NA,1995,216,NA,32,59.1,56.3,8/29/95,TS
Henry Control,34939,34940,NA,1995,220,NA,42,41.7,41.7,8/28/95,TS
Tea Control,34914,34915,NA,1995,212,NA,26,78.8,77.4,8/3/95,TS
Tea Control,34947,34948,NA,1995,217,NA,54,69.2,68.3,9/5/95,TS
Green Control,35283,35284,NA,1996,265,NA,9,37.1,28.6,8/6/96,TS
Green Control,35313,35314,NA,1996,269,NA,19,25.8,26.5,9/5/96,TS
Green Control,35341,35342,NA,1996,273,NA,10,26.7,20.4,10/3/96,TS
Green Experimental,35283,35284,NA,1996,265,NA,1,2,2,8/6/96,TS
Green Experimental,35311,35312,NA,1996,269,NA,2,6,4.5,9/3/96,TS
Green Experimental,35339,35340,NA,1996,273,NA,1,2,2,10/1/96,TS
Henry Control,35290,NA,NA,1996,266,NA,0,0,0,8/13/96,TS
Henry Control,35304,35305,NA,1996,268,NA,1,8,8,8/27/96,TS
Henry Control,35332,35333,NA,1996,272,NA,6,14,12.8,9/24/96,TS
Henry Experimental,35285,35286,NA,1996,265,NA,4,11.3,11.3,8/8/96,TS
Henry Experimental,35306,35307,NA,1996,268,NA,3,17,17,8/29/96,TS
Henry Experimental,35334,35335,NA,1996,272,NA,0,0,0,9/26/96,TS
Tea Control,35292,35293,NA,1996,266,NA,5,14.9,13.2,8/15/96,TS
Tea Control,35318,35319,NA,1996,270,NA,7,14.5,13.5,9/10/96,TS
Tea Experimental,35292,35293,NA,1996,266,NA,8,19.3,19,8/15/96,TS
Tea Experimental,35320,35321,NA,1996,270,NA,7,49.3,38.7,9/12/96,TS
Green Control,35662,35663,NA,1997,319,NA,9,34.8,32.2,8/20/97,TS
Green Control,35691,35692,NA,1997,323,NA,20,31.5,30,9/18/97,TS
Green Experimental,35640,35644,NA,1997,316,NA,10,22,22,7/29/97,TS
Green Experimental,35647,35650,NA,1997,317,NA,10,23.2,23.2,8/5/97,TS
Green Experimental,35654,35657,NA,1997,318,NA,15,23,23,8/12/97,TS
Green Experimental,35661,35664,NA,1997,319,NA,12,19.9,19.9,8/19/97,TS
Green Experimental,35668,35671,NA,1997,320,NA,10,19.5,18.4,8/26/97,TS
Green Experimental,35689,35690,NA,1997,323,NA,4,28.3,18.3,9/16/97,TS
Henry Control,35648,35649,NA,1997,317,NA,7,21.6,20.7,8/6/97,TS
Henry Control,35677,35678,NA,1997,321,NA,8,40.8,38.7,9/4/97,TS
Henry Control,35705,35706,NA,1997,325,NA,13,12.6,12.6,10/2/97,TS
Henry Experimental,35640,35644,NA,1997,316,NA,11,22.5,22.9,7/29/97,TS
Henry Experimental,35647,35650,NA,1997,317,NA,8,18.3,18.3,8/5/97,TS
Henry Experimental,35654,35657,NA,1997,318,NA,10,19.9,20.8,8/12/97,TS
Henry Experimental,35661,35664,NA,1997,319,NA,3,22,17.3,8/19/97,TS
Henry Experimental,35668,35671,NA,1997,320,NA,3,16.3,16.3,8/26/97,TS
Henry Experimental,35675,35676,NA,1997,321,NA,2,108,36,9/2/97,TS
Henry Experimental,35703,35704,NA,1997,325,NA,11,19.6,18.9,9/30/97,TS
Tea Control,35655,35656,NA,1997,318,NA,12,18,17.6,8/13/97,TS
Tea Control,35684,35685,NA,1997,322,NA,11,28.5,22.5,9/11/97,TS
Tea Experimental,35640,35644,NA,1997,316,NA,16,63.8,55.8,7/29/97,TS
Tea Experimental,35647,35650,NA,1997,317,NA,7,48.7,43.4,8/5/97,TS
Tea Experimental,35654,35657,NA,1997,318,NA,14,54.8,52.8,8/12/97,TS
Tea Experimental,35661,35664,NA,1997,319,NA,14,66.8,57,8/19/97,TS
Tea Experimental,35668,35671,NA,1997,320,NA,18,88.6,69.9,8/26/97,TS
Tea Experimental,35682,35683,NA,1997,322,NA,24,62.8,59.5,9/9/97,TS
Green Control,36011,36012,NA,1998,369,NA,24,38.3,37.1,8/4/98,TS
Green Control,36039,36040,NA,1998,373,NA,22,34.1,33.4,9/1/98,TS
Green Control,36061,36063,NA,1998,376,NA,9,36.3,30.8,9/23/98,TS
Henry Control,36003,36004,NA,1998,368,NA,3,10,10,7/27/98,TS
Henry Control,36025,36026,NA,1998,371,NA,5,9.1,9.3,8/18/98,TS
Henry Control,36047,36048,NA,1998,374,NA,5,11.7,10.5,9/9/98,TS
Tea Control,36005,36006,NA,1998,368,NA,6,36.4,31.3,7/29/98,TS
Tea Control,36032,36033,NA,1998,372,NA,7,17.5,16.2,8/25/98,TS
Tea Control,36053,36054,NA,1998,375,NA,12,22.1,24.8,9/15/98,TS
Green Control,36384,36385,NA,1999,422,NA,7,22.7,18.7,8/12/99,TS
Green Control,36417,36418,NA,1999,427,NA,11,11,11,9/14/99,TS
Green Experimental,36382,36383,NA,1999,422,NA,4,6.9,6.3,8/10/99,TS
Green Experimental,36419,36420,NA,1999,427,NA,2,2,2,9/16/99,TS
Henry Control,36377,36378,NA,1999,421,NA,4,26.5,26.5,8/5/99,TS
Henry Control,36396,36397,NA,1999,424,NA,13,12.7,12.7,8/24/99,TS
Henry Control,36433,36434,NA,1999,429,NA,9,9,9,9/30/99,TS
Henry Experimental,36375,36376,NA,1999,421,NA,11,27.3,25.9,8/3/99,TS
Henry Experimental,36398,36399,NA,1999,424,NA,7,9,9,8/26/99,TS
Henry Experimental,36431,36432,NA,1999,429,NA,10,8.8,8.8,9/28/99,TS
Tea Control,36389,36390,NA,1999,423,NA,17,24.9,25.6,8/17/99,TS
Tea Control,36424,36425,NA,1999,428,NA,16,15.6,15.6,9/21/99,TS
Tea Experimental,36390,36391,NA,1999,423,NA,29,35.6,34.5,8/18/99,TS
Tea Experimental,36426,36427,NA,1999,428,NA,29,68.6,57.1,9/23/99,TS
Green Control,36755,36756,NA,2000,475,NA,6,15.6,11.7,8/17/00,TS
Green Control,36790,36791,NA,2000,480,NA,1,7,7,9/21/00,TS
Green Experimental,36753,36754,NA,2000,475,NA,4,5.8,5.4,8/15/00,TS
Green Experimental,36788,36789,NA,2000,480,NA,4,11.7,8.3,9/19/00,TS
Henry Control,36741,36742,NA,2000,473,NA,1,1,1,8/3/00,TS
Henry Control,36760,36761,NA,2000,476,NA,0,0,0,8/22/00,TS
Henry Control,36797,36798,NA,2000,481,NA,0,0,0,9/28/00,TS
Henry Experimental,36739,36740,NA,2000,473,NA,2,6,4.5,8/1/00,TS
Henry Experimental,36760,36761,NA,2000,476,NA,2,5,5,8/22/00,TS
Henry Experimental,36795,36796,NA,2000,481,NA,0,0,0,9/26/00,TS
Tea Control,36746,36747,NA,2000,474,NA,3,7,7,8/8/00,TS
Tea Control,36783,36784,NA,2000,479,NA,2,1.5,1.5,9/14/00,TS
Tea Experimental,36747,36748,NA,2000,474,NA,5,7.7,7.2,8/9/00,TS
Tea Experimental,36781,36782,NA,2000,479,NA,5,19.2,16.8,9/12/00,TS
Green Control,37105,37106,NA,2001,525,NA,10,11.9,12.2,8/2/01,TS
Green Control,37126,37127,NA,2001,528,NA,6,9.1,9.3,8/23/01,TS
Green Control,37145,37146,NA,2001,531,NA,5,8,8,9/11/01,TS
Green Experimental,37103,37104,NA,2001,525,NA,7,16.7,22,7/31/01,TS
Green Experimental,37124,37125,NA,2001,528,NA,3,13.3,10.7,8/21/01,TS
Green Experimental,37147,37148,NA,2001,531,NA,1,3,3,9/13/01,TS
Henry Control,37112,37113,NA,2001,526,NA,5,5,5,8/9/01,TS
Henry Control,37131,37132,NA,2001,529,NA,6,8.1,7.9,8/28/01,TS
Henry Control,37154,37155,NA,2001,532,NA,3,5,5,9/20/01,TS
Henry Experimental,37111,37112,NA,2001,526,NA,4,9,9,8/8/01,TS
Henry Experimental,37133,37134,NA,2001,529,NA,7,11.4,11.7,8/30/01,TS
Henry Experimental,37152,37153,NA,2001,532,NA,7,8.3,8.3,9/18/01,TS
Tea Control,37117,37118,NA,2001,527,NA,7,11,11,8/14/01,TS
Tea Control,37139,37140,NA,2001,530,NA,6,14,14.2,9/5/01,TS
Tea Control,37166,37167,NA,2001,534,NA,15,14.7,14.7,10/2/01,TS
Tea Experimental,37119,37120,NA,2001,527,NA,9,15.7,15,8/16/01,TS
Tea Experimental,37140,37141,NA,2001,530,NA,12,13.3,13.3,9/6/01,TS
Tea Experimental,37168,37169,NA,2001,534,NA,18,17.3,17.3,10/4/01,TS
Green Control,37476,37477,NA,2002,578,NA,13,17.9,18.6,8/8/02,TS
Green Control,37497,37498,NA,2002,581,NA,11,14.9,14.9,8/29/02,TS
Green Control,37518,37519,NA,2002,584,NA,8,12.4,12.4,9/19/02,TS
Green Experimental,37474,37475,NA,2002,578,NA,1,5,5,8/6/02,TS
Green Experimental,37495,37496,NA,2002,581,NA,3,8,8.7,8/27/02,TS
Green Experimental,37516,37517,NA,2002,584,NA,3,8,6.7,9/17/02,TS
Henry Control,37483,37484,NA,2002,579,NA,6,32.7,32.7,8/15/02,TS
Henry Control,37504,37505,NA,2002,582,NA,14,31.8,27,9/5/02,TS
Henry Control,37525,37526,NA,2002,585,NA,14,16.3,16.3,9/26/02,TS
Henry Experimental,37481,37482,NA,2002,579,NA,6,21,18.7,8/13/02,TS
Henry Experimental,37502,37503,NA,2002,582,NA,7,16,14.9,9/3/02,TS
Henry Experimental,37523,37524,NA,2002,585,NA,12,11.7,11.7,9/24/02,TS
Tea Control,37467,37468,NA,2002,577,NA,11,29.3,26.2,7/30/02,TS
Tea Control,37488,37489,NA,2002,580,NA,8,17,17,8/20/02,TS
Tea Control,37511,37512,NA,2002,583,NA,8,19.3,18.2,9/12/02,TS
Tea Control,37532,37533,NA,2002,586,NA,19,29.7,28.2,10/3/02,TS
Tea Experimental,37469,37470,NA,2002,577,NA,6,22.2,22.2,8/1/02,TS
Tea Experimental,37490,37491,NA,2002,580,NA,16,23.6,23.2,8/22/02,TS
Tea Experimental,37509,37510,NA,2002,583,NA,18,28,26.5,9/10/02,TS
Tea Experimental,37530,37531,NA,2002,586,NA,28,33.8,32.4,10/1/02,TS
Green Control,37838,37839,NA,2003,630,NA,12,18.2,18.3,8/5/03,TS
Green Control,37861,37862,NA,2003,633,NA,14,17.4,17.4,8/28/03,TS
Green Control,37880,37881,NA,2003,636,NA,16,19.7,19.3,9/16/03,TS
Green Experimental,37840,37841,NA,2003,630,NA,7,19.7,18,8/7/03,TS
Green Experimental,37859,37860,NA,2003,633,NA,4,17.8,18.8,8/26/03,TS
Green Experimental,37880,37881,NA,2003,636,NA,10,24.8,20.6,9/16/03,TS
Henry Control,37833,37834,NA,2003,629,NA,5,18.9,16.5,7/31/03,TS
Henry Control,37854,37855,NA,2003,632,NA,6,16.5,16.5,8/21/03,TS
Henry Control,37875,37876,NA,2003,635,NA,8,11.9,11.5,9/11/03,TS
Henry Control,37896,37897,NA,2003,638,NA,9,15.2,13,10/2/03,TS
Henry Experimental,37831,37832,NA,2003,629,NA,7,19.1,16,7/29/03,TS
Henry Experimental,37852,37853,NA,2003,632,NA,6,17.3,15.6,8/19/03,TS
Henry Experimental,37873,37874,NA,2003,635,NA,8,17.4,15.2,9/9/03,TS
Henry Experimental,37894,37895,NA,2003,638,NA,12,17.3,16,9/30/03,TS
Tea Control,37847,37848,NA,2003,631,NA,15,45,41.4,8/14/03,TS
Tea Control,37866,37868,NA,2003,634,NA,11,41.8,39,9/2/03,TS
Tea Control,37887,37888,NA,2003,637,NA,23,26.3,26.2,9/23/03,TS
