node,lower95,lower75,median,mean,upper75,upper95,variance,siteID,species,start.date == start.date,model,start.date,mice,weather
sig[2],16.257705763805035,18.025954510546264,21.05920626056754,21.318896810598407,24.766661840979985,27.984867776133747,8.850576714738366,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
sig[3],0.25699605833495975,0.37671941092172534,0.5653472369014293,0.6122025169556823,0.8680479665504593,1.2237045348981723,0.05788393339811032,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
sig[4],0.6752702807069204,0.7721727500529734,0.94004506660563,0.9524547171832244,1.139634613787257,1.30676795418387,0.02580083042936221,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
tau.cgdd,0.02648989094277382,0.13722494355170056,0.6735362450126559,0.9890895924458049,2.0891112798595635,3.6242648659036143,0.9823524176736892,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
tau.maxrh,0.2927878271616488,0.31656074991171956,0.3560595311303406,0.35817097103085566,0.3996918058696205,0.4338537831577692,0.00131850327717045,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
tau.minrh,5.312267522594114,6.419391938094012,8.447778684978868,8.698139856640267,11.172888524746927,13.560805575457763,4.456492725985424,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
tau.precip,5.322241017352343,6.459603311001464,8.481559818198992,8.723893289604671,11.116195753580287,13.564787620362642,4.493289503726099,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
tau.temp,0.2848403255781874,0.3081264422894976,0.34651829693981584,0.3483201748934669,0.3893916663496704,0.42354670661989335,0.00126708807159033,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
theta.ln,-4.618158795183071,-4.341436103961737,-3.9808133027207906,-3.979687473993417,-3.612592414609777,-3.349764292753951,0.10209322901036412,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
theta.na,-7.419341559529719,-6.908010656834063,-6.225222909226499,-6.23143591930349,-5.52835375351042,-5.053801491785366,0.3618634081221168,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
beta[10],-1.8873033519255544,-1.4322022490588746,-0.7071368102053159,-0.6840489525857328,0.0936235134821867,0.6606595002228525,0.4294919327498093,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-15,Mice,Weather
beta[11],-1.584313168855687,-1.020519685600589,-0.0977809492416287,-0.07827911254143427,0.8837477956597467,1.5195306848002057,0.6480584604329145,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-15,Mice,Weather
beta[12],-1.371016928362068,-0.936204508491596,-0.14024903497879893,-0.12268339051403732,0.6853999746623363,1.293283397874299,0.4789904941822044,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-15,Mice,Weather
beta[13],-0.4164713061717429,-0.21522156803418624,0.07891491727207917,0.07729091965413173,0.3670648424817197,0.5615205405370072,0.06276088656740114,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-15,Mice,Weather
beta[14],-0.9001597813543895,-0.38469072041841457,0.4328801379520295,0.446233270928877,1.28924539163195,1.89138906075434,0.525285518555626,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-15,Mice,Weather
beta[1],-1.8652194694302493,-1.6916617504683331,-1.4553783060126684,-1.450318852809003,-1.2005886825769254,-1.0044743925184911,0.04790265126327634,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-15,Mice,Weather
beta[2],-1.8896142606230697,-1.628741227947642,-1.2721524360829402,-1.272202267374631,-0.9277749161463722,-0.5769617240274059,0.10354697662194766,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-15,Mice,Weather
