"siteID","date","ndvi_mean","ndvi_median","ndvi_sd","evi_mean","evi_median","evi_sd","n_pixels"
"GREN","2020-12-18",0.4772,0.4772,0,0.2457,0.2457,0,1
"GREN","2021-01-01",0.6232,0.6232,0,0.1968,0.1968,0,1
"GREN","2021-01-17",0.4734,0.4734,0,0.1977,0.1977,0,1
"GREN","2021-02-02",0.1506,0.1506,0,0.1202,0.1202,0,1
"GREN","2021-02-18",0.0828,0.0828,0,0.0569,0.0569,0,1
"GREN","2021-03-06",0.431,0.431,0,0.208,0.208,0,1
"GREN","2021-03-22",0.4303,0.4303,0,0.2129,0.2129,0,1
"GREN","2021-04-07",0.4443,0.4443,0,0.2357,0.2357,0,1
"GREN","2021-04-23",0.5756,0.5756,0,0.3399,0.3399,0,1
"GREN","2021-05-09",0.8574,0.8574,0,0.6125,0.6125,0,1
"GREN","2021-05-25",0.9158,0.9158,0,0.6767,0.6767,0,1
"GREN","2021-06-10",0.9034,0.9034,0,0.7622,0.7622,0,1
"GREN","2021-06-26",0.9276,0.9276,0,0.6317,0.6317,0,1
"GREN","2021-07-12",0.9235,0.9235,0,0.7021,0.7021,0,1
"GREN","2021-07-28",0.883,0.883,0,0.5991,0.5991,0,1
"GREN","2021-08-13",0.8702,0.8702,0,0.6541,0.6541,0,1
"GREN","2021-08-29",0.8548,0.8548,0,0.6106,0.6106,0,1
"GREN","2021-09-14",0.8983,0.8983,0,0.4776,0.4776,0,1
"GREN","2021-09-30",0.8211,0.8211,0,0.4627,0.4627,0,1
"GREN","2021-10-16",0.7371,0.7371,0,0.3645,0.3645,0,1
"GREN","2021-11-01",0.5882,0.5882,0,0.2559,0.2559,0,1
"GREN","2021-11-17",0.4901,0.4901,0,0.2004,0.2004,0,1
"GREN","2021-12-03",0.5037,0.5037,0,0.1875,0.1875,0,1
"GREN","2021-12-19",0.5091,0.5091,0,0.1923,0.1923,0,1
"GREN","2022-01-01",0.4844,0.4844,0,0.1974,0.1974,0,1
"GREN","2022-01-17",0.1366,0.1366,0,0.0948,0.0948,0,1
"GREN","2022-02-02",0.4139,0.4139,0,0.1744,0.1744,0,1
"GREN","2022-02-18",0.4191,0.4191,0,0.2068,0.2068,0,1
"GREN","2022-03-06",0.4381,0.4381,0,0.2088,0.2088,0,1
"GREN","2022-03-22",0.462,0.462,0,0.1721,0.1721,0,1
"GREN","2022-04-07",0.4484,0.4484,0,0.1977,0.1977,0,1
"GREN","2022-04-23",0.4401,0.4401,0,0.2346,0.2346,0,1
"GREN","2022-05-09",0.8945,0.8945,0,0.6568,0.6568,0,1
"GREN","2022-05-25",0.9354,0.9354,0,0.6302,0.6302,0,1
"GREN","2022-06-10",0.9314,0.9314,0,0.6392,0.6392,0,1
"GREN","2022-06-26",0.9104,0.9104,0,0.6843,0.6843,0,1
"GREN","2022-07-12",0.9166,0.9166,0,0.6843,0.6843,0,1
"GREN","2022-07-28",0.9069,0.9069,0,0.5926,0.5926,0,1
"GREN","2022-08-13",0.8846,0.8846,0,0.6409,0.6409,0,1
"GREN","2022-08-29",0.8611,0.8611,0,0.5059,0.5059,0,1
"GREN","2022-09-14",0.8576,0.8576,0,0.5643,0.5643,0,1
"GREN","2022-09-30",0.8397,0.8397,0,0.4693,0.4693,0,1
"GREN","2022-10-16",0.5702,0.5702,0,0.2748,0.2748,0,1
"GREN","2022-11-01",0.533,0.533,0,0.2245,0.2245,0,1
"GREN","2022-11-17",0.4915,0.4915,0,0.1842,0.1842,0,1
"GREN","2022-12-03",0.5597,0.5597,0,0.1785,0.1785,0,1
"GREN","2022-12-19",0.4877,0.4877,0,0.1971,0.1971,0,1
"GREN","2023-01-01",0.4745,0.4745,0,0.2061,0.2061,0,1
"GREN","2023-01-17",0.4971,0.4971,0,0.17,0.17,0,1
"GREN","2023-02-02",0.4638,0.4638,0,0.1839,0.1839,0,1
"GREN","2023-02-18",0.4474,0.4474,0,0.1897,0.1897,0,1
"GREN","2023-03-06",0.4234,0.4234,0,0.205,0.205,0,1
"GREN","2023-03-22",0.4369,0.4369,0,0.2096,0.2096,0,1
"GREN","2023-04-07",0.5065,0.5065,0,0.2766,0.2766,0,1
"GREN","2023-04-23",0.7044,0.7044,0,0.4521,0.4521,0,1
